subjid,cond,time,pair,2D
1,Cursor,1,1,0.239815138
1,Cursor,2,2,0.111306852
1,Cursor,3,3,0.107620855
2,Cursor,1,1,0.219878208
2,Cursor,2,2,0.278694731
2,Cursor,3,3,0.273775731
3,Cursor,1,1,0.214583573
3,Cursor,2,2,0.205876116
3,Cursor,3,3,0.329892169
4,Cursor,1,1,0.314369913
4,Cursor,2,2,0.230701483
4,Cursor,3,3,0.199619351
5,Cursor,1,1,0.07446478
5,Cursor,2,2,0.132913975
5,Cursor,3,3,0.087946305
6,Cursor,1,1,0.177690911
6,Cursor,2,2,0.110941729
6,Cursor,3,3,0.225474467
1,Robot,1,4,0.16341781
1,Robot,2,5,0.239760825
1,Robot,3,6,0.214115001
2,Robot,1,4,0.27066137
2,Robot,2,5,0.26649503
2,Robot,3,6,0.24920518
3,Robot,1,4,0.210000353
3,Robot,2,5,0.257141632
3,Robot,3,6,0.281448488
4,Robot,1,4,0.31614285
4,Robot,2,5,0.264192786
4,Robot,3,6,0.435142621
5,Robot,1,4,0.189304306
5,Robot,2,5,0.151062037
5,Robot,3,6,0.183317047
6,Robot,1,4,0.16297132
6,Robot,2,5,0.176784974
6,Robot,3,6,0.161275855
