subjid,cond,time,pair,LR,UD
1,Cursor,1,1,0.183125258,0.103070776
1,Cursor,2,2,0.071881989,0.061758981
1,Cursor,3,3,0.044779789,0.03361365
1,Cursor,4,4,0.030514746,0.075487168
1,Cursor,5,5,0.042948207,0.090336264
2,Cursor,1,1,0.098524972,0.125749078
2,Cursor,2,2,0.028772812,0.122084717
2,Cursor,3,3,0.033441688,0.075403428
2,Cursor,4,4,0.035316332,0.221595166
2,Cursor,5,5,0.092355649,0.048357457
3,Cursor,1,1,0.053925088,0.075930257
3,Cursor,2,2,0.125751329,0.160891859
3,Cursor,3,3,0.112345944,0.080982596
3,Cursor,4,4,0.150086634,0.194869179
3,Cursor,5,5,0.106730422,0.079459314
4,Cursor,1,1,0.15097407,0.120599314
4,Cursor,2,2,0.080436998,0.119726884
4,Cursor,3,3,0.104848325,0.065103069
4,Cursor,4,4,0.180785067,0.1671432
4,Cursor,5,5,0.22911639,0.072399247
5,Cursor,1,1,0.1347904,0.128288993
5,Cursor,2,2,0.033255851,0.051127033
5,Cursor,3,3,0.030218388,0.09250079
5,Cursor,4,4,0.020170567,0.02425869
5,Cursor,5,5,0.069108745,0.169434047
6,Cursor,1,1,0.214780968,0.051720847
6,Cursor,2,2,0.099731752,0.068589439
6,Cursor,3,3,0.042089159,0.087541131
6,Cursor,4,4,0.058461497,0.032927618
6,Cursor,5,5,0.038708869,0.136102014
1,Robot,1,6,0.037957312,0.17363838
1,Robot,2,7,0.044513347,0.082701741
1,Robot,3,8,0.036383698,0.044432646
1,Robot,4,9,0.057819408,0.033439744
1,Robot,5,10,0.01853377,0.029994689
2,Robot,1,6,0.089686106,0.120343099
2,Robot,2,7,0.05083955,0.141434346
2,Robot,3,8,0.147240813,0.07716591
2,Robot,4,9,0.032300821,0.089340743
2,Robot,5,10,0.077505333,0.190131341
3,Robot,1,6,,
3,Robot,2,7,0.180885285,0.125962897
3,Robot,3,8,0.125477004,0.05460144
3,Robot,4,9,0.119607915,0.296054722
3,Robot,5,10,0.073773261,0.062390112
4,Robot,1,6,0.076415852,0.100764894
4,Robot,2,7,0.094418885,0.144451305
4,Robot,3,8,0.130197346,0.0455327
4,Robot,4,9,0.132464842,0.208116285
4,Robot,5,10,0.119912381,0.042833496
5,Robot,1,6,0.052669272,0.107472091
5,Robot,2,7,0.084385576,0.048173319
5,Robot,3,8,0.033439475,0.03017455
5,Robot,4,9,0.097630605,0.024865466
5,Robot,5,10,0.026093122,0.035171496
6,Robot,1,6,0.310660207,0.126667163
6,Robot,2,7,0.126800144,0.146660772
6,Robot,3,8,0.094294643,0.062519259
6,Robot,4,9,0.015625097,0.071077681
6,Robot,5,10,0.14550008,0.175893691
